[2023-12-26 18:38:58,319: INFO: main: Test]
[2023-12-26 18:39:51,586: INFO: main: Test]
[2023-12-26 21:29:50,207: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-26 21:29:50,213: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-26 21:29:50,214: INFO: common: created directory at: artifacts]
[2023-12-26 21:29:50,216: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-26 21:29:50,217: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1QIJhMWnvUwhLbtaejhAqksQ0L3V1NWJp/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-26 21:30:03,502: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1QIJhMWnvUwhLbtaejhAqksQ0L3V1NWJp/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-26 22:08:30,935: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-12-26 22:08:30,937: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-26 22:08:30,938: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-26 22:08:30,939: INFO: common: created directory at: artifacts]
[2023-12-26 22:08:30,939: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-26 22:08:30,939: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1QIJhMWnvUwhLbtaejhAqksQ0L3V1NWJp/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-26 22:08:42,388: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1QIJhMWnvUwhLbtaejhAqksQ0L3V1NWJp/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-26 22:08:42,930: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
